"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript", "TypeScript JSX", "PostCSS", "HTML", "Markdown", "YAML", "Ignore", "comment", "blank", "total"
"g:\graduation-project\RobinStudio\src\renderer\src\assets\icons\sidebar-off.icon.tsx", "TypeScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 1, 9
"g:\graduation-project\RobinStudio\src\renderer\src\assets\icons\sidebar-on.icon.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 1, 14
"g:\graduation-project\RobinStudio\src\renderer\src\components\abstract-syntax-tree\components\abstract-syntax-tree.component.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 3, 28
"g:\graduation-project\RobinStudio\src\renderer\src\components\abstract-syntax-tree\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"g:\graduation-project\RobinStudio\src\renderer\src\components\app-sidebar\components\app-sidebar.component.tsx", "TypeScript JSX", 0, 0, 0, 0, 283, 0, 0, 0, 0, 0, 0, 19, 302
"g:\graduation-project\RobinStudio\src\renderer\src\components\app-sidebar\components\file-tree.component.tsx", "TypeScript JSX", 0, 0, 0, 0, 147, 0, 0, 0, 0, 0, 0, 15, 162
"g:\graduation-project\RobinStudio\src\renderer\src\components\app-sidebar\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"g:\graduation-project\RobinStudio\src\renderer\src\components\app-sidebar\types\app-sidebar.props.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"g:\graduation-project\RobinStudio\src\renderer\src\components\draggable-tabs\components\draggable-tabs.component.tsx", "TypeScript JSX", 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 10, 86
"g:\graduation-project\RobinStudio\src\renderer\src\components\draggable-tabs\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"g:\graduation-project\RobinStudio\src\renderer\src\components\editor-playground\components\editor-playground.component.tsx", "TypeScript JSX", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 5, 38
"g:\graduation-project\RobinStudio\src\renderer\src\components\editor-playground\index.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"g:\graduation-project\RobinStudio\src\renderer\src\components\file-finder\components\file-finder.component.tsx", "TypeScript JSX", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 6, 48
"g:\graduation-project\RobinStudio\src\renderer\src\components\file-finder\components\search-button.component.tsx", "TypeScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"g:\graduation-project\RobinStudio\src\renderer\src\components\file-finder\components\search-input.component.tsx", "TypeScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 5, 34
"g:\graduation-project\RobinStudio\src\renderer\src\components\file-finder\components\search-results.component.tsx", "TypeScript JSX", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 7, 52
